,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
2673,married,Over 23 years old,1,Management (evening attendance),evening,Secondary education,160.0,Portuguese,Unknown,Unknown,(blank),(blank),114.3,0,0,0,1,male,0,40,0,0,5,9,3,11.0,0,0,5,8,4,12.5,1,7.6,2.6,0.32,Non-Dropout
2674,single,2nd phase - general contingent,1,Advertising and Marketing Management,daytime,Secondary education,134.0,Portuguese,Basic Education 3rd Cycle,Basic education 1st cycle,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",125.3,1,0,0,1,male,1,19,0,0,6,7,4,13.75,0,0,6,10,6,11.555555555555555,0,10.8,1.4,1.74,Non-Dropout
2675,single,1st phase - general contingent,1,Tourism,daytime,Secondary education,133.1,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Legislative/Executive/Directors,Legislative/Executive/Directors,97.0,0,0,0,1,male,0,27,0,0,6,6,6,10.666666666666666,0,0,6,8,4,11.25,0,10.8,1.4,1.74,Non-Dropout
2676,married,Transfer,1,Oral Hygiene,daytime,Secondary education,110.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",140.0,0,0,0,1,male,0,43,0,0,7,7,0,0.0,0,0,8,13,2,13.15,0,16.2,0.3,-0.92,Dropout
2677,single,Change of course,1,Management (evening attendance),evening,Secondary education,130.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,124.0,0,0,0,1,male,0,31,0,1,5,6,5,13.833333333333334,0,0,5,7,5,15.4,0,9.4,-0.8,-3.12,Non-Dropout
2678,single,Technological specialization diploma holders,1,Agronomy,daytime,Technological specialization course,140.0,Portuguese,Basic Education 2nd Cycle,Secondary Education - 12th Year,"Intermediate level technicians from legal, social, sports, cultural and similar services","Intermediate level technicians from legal, social, sports, cultural and similar services",140.0,1,0,1,1,male,0,26,0,0,6,6,0,0.0,0,0,6,7,0,0.0,0,8.9,1.4,3.51,Non-Dropout
2679,single,Over 23 years old,1,Management (evening attendance),evening,Secondary education,150.0,Portuguese,Basic education 1st cycle,Basic Education 2nd Cycle,"Workers in food processing, woodworking, clothing and other industries and crafts",Other Armed Forces personnel,127.0,0,0,0,1,male,0,34,0,0,5,5,5,15.8,0,0,5,5,5,16.8,0,8.9,1.4,3.51,Non-Dropout
2680,divorced,Change of course,1,Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,100.0,Portuguese,Unknown,Unknown,Student,Student,110.0,0,0,0,1,male,0,30,0,11,14,26,12,12.52608695652174,1,11,14,26,12,12.52608695652174,1,7.6,2.6,0.32,Non-Dropout
2681,married,Over 23 years old,1,Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 2nd Cycle,Basic Education 2nd Cycle,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,170.0,0,0,0,1,male,0,36,0,0,7,9,6,12.783333333333331,0,0,8,11,0,0.0,0,16.2,0.3,-0.92,Dropout
2682,single,Holders of other higher courses,1,Management (evening attendance),evening,Higher education - degree,120.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Skilled Workers in Industry, Construction and Craftsmen",120.0,0,0,1,0,male,0,46,0,0,5,5,0,0.0,0,0,5,5,1,10.0,0,11.1,0.6,2.02,Dropout
2683,single,2nd phase - general contingent,1,Veterinary Nursing,daytime,Secondary education,133.1,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,130.0,0,0,0,1,male,0,22,0,0,5,8,3,13.0,0,0,5,8,3,10.666666666666666,0,7.6,2.6,0.32,Non-Dropout
2684,single,Holders of other higher courses,1,Agronomy,daytime,Higher education - degree,130.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,130.0,0,0,0,1,male,0,27,0,0,6,8,0,0.0,0,0,6,10,0,0.0,0,16.2,0.3,-0.92,Dropout
2685,single,1st phase - general contingent,2,Informatics Engineering,daytime,Secondary education,126.0,Portuguese,Secondary Education - 12th Year,Basic Education 2nd Cycle,"Office workers, secretaries in general and data processing operators","Unskilled workers in agriculture, animal production, fisheries and forestry",122.5,1,0,0,1,male,0,20,0,0,5,7,5,10.8,0,0,5,9,3,12.0,0,8.9,1.4,3.51,Non-Dropout
2686,single,Change of institution/course,1,Management,daytime,Secondary education,130.0,Portuguese,Basic Education 3rd Cycle,Basic Education 2nd Cycle,Unskilled Workers,Installation and Machine Operators and Assembly Workers,115.7,0,0,0,1,male,0,20,0,0,5,7,5,11.0,0,0,5,7,3,10.0,0,8.9,1.4,3.51,Non-Dropout
2687,single,Transfer,1,Informatics Engineering,daytime,Secondary education,140.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Other Situation,Other Situation,120.0,0,0,1,0,male,0,31,0,0,4,4,0,0.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
2688,single,1st phase - general contingent,1,Informatics Engineering,daytime,Secondary education,140.0,Portuguese,Basic education 1st cycle,Basic Education 3rd Cycle,Unskilled Workers,Unskilled Workers,166.0,1,0,1,1,male,0,20,0,0,5,7,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Non-Dropout
2689,single,2nd phase - general contingent,1,Journalism and Communication,daytime,Secondary education,145.0,Portuguese,Secondary Education - 12th Year,Basic Education 2nd Cycle,Other Situation,Installation and Machine Operators and Assembly Workers,132.8,1,0,0,0,male,0,21,0,0,6,10,2,12.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
2690,single,2nd phase - general contingent,1,Management,daytime,Secondary education,133.1,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",100.0,0,0,0,1,male,0,21,0,0,5,7,4,10.75,0,0,5,10,2,11.0,3,16.2,0.3,-0.92,Dropout
2691,single,1st phase - general contingent,1,Management,daytime,Secondary education,127.0,Portuguese,Secondary Education - 12th Year,Higher Education - Master,Unskilled Workers,Armed Forces Professions,121.8,0,0,0,1,male,0,19,0,0,5,8,5,11.6,0,0,5,10,4,13.5,3,16.2,0.3,-0.92,Non-Dropout
2692,single,2nd phase - general contingent,4,Management,daytime,Secondary education,114.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Administrative staff,Administrative staff,109.5,1,0,0,1,male,1,20,0,0,5,6,5,11.8,0,0,5,8,4,11.6,0,8.9,1.4,3.51,Non-Dropout
2693,single,1st phase - general contingent,1,Agronomy,daytime,Secondary education,140.0,Portuguese,Basic Education 2nd Cycle,Secondary Education - 12th Year,Unskilled Workers,Administrative staff,138.3,0,0,0,1,male,0,18,0,0,6,7,6,16.0,0,0,6,6,6,15.166666666666666,0,12.4,0.5,1.79,Non-Dropout
2694,single,1st phase - general contingent,2,Journalism and Communication,daytime,Secondary education,140.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Administrative staff,Intermediate Level Technicians and Professions,131.6,0,0,0,1,male,1,18,0,0,6,6,6,12.666666666666666,0,0,6,6,6,11.5,0,16.2,0.3,-0.92,Non-Dropout
2695,single,Over 23 years old,1,Nursing,daytime,Secondary education,120.0,Portuguese,Secondary Education - 12th Year,Higher Education - Bachelor's,Other administrative support staff,Teachers,125.3,0,0,1,1,male,0,30,0,0,7,12,4,14.4,0,0,7,9,6,13.5,0,12.4,0.5,1.79,Non-Dropout
2696,single,Over 23 years old,1,Tourism,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Intermediate Level Technicians and Professions,Legislative/Executive/Directors,101.5,0,0,1,0,male,0,34,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,15.5,2.8,-4.06,Dropout
2697,single,2nd phase - general contingent,1,Advertising and Marketing Management,daytime,Secondary education,115.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Cleaning workers,"Skilled construction workers and the like, except electricians",109.1,0,0,1,0,male,0,21,0,0,6,11,4,12.25,0,0,6,9,4,13.4,0,11.1,0.6,2.02,Non-Dropout
2698,single,Technological specialization diploma holders,1,Communication Design,daytime,Technological specialization course,123.9,Portuguese,Basic education 1st cycle,Secondary Education - 12th Year,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",123.9,0,0,0,1,male,0,20,0,2,7,9,5,12.6,0,5,9,10,8,12.75,1,16.2,0.3,-0.92,Dropout
2699,single,1st phase - general contingent,1,Nursing,daytime,Secondary education,157.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,143.0,0,0,0,1,male,0,18,0,0,8,8,7,13.4,0,0,8,8,7,13.4,0,12.7,3.7,-1.7,Non-Dropout
2700,single,1st phase - general contingent,1,Animation and Multimedia Design,daytime,Secondary education,127.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Administrative staff,Intermediate Level Technicians and Professions,126.3,1,0,1,1,male,0,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Dropout
2701,married,Transfer,1,Agronomy,daytime,Secondary education,120.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,113.3,0,0,0,1,male,0,26,0,0,6,9,1,10.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
2702,single,2nd phase - general contingent,1,Informatics Engineering,daytime,Secondary education,130.0,Portuguese,Basic Education 2nd Cycle,Basic Education 3rd Cycle,"Skilled Workers in Industry, Construction and Craftsmen",Intermediate Level Technicians and Professions,119.9,1,0,1,1,male,0,20,0,0,5,5,0,0.0,0,0,5,5,0,0.0,5,9.4,-0.8,-3.12,Dropout
2703,single,Technological specialization diploma holders,1,Agronomy,daytime,Technological specialization course,140.0,Portuguese,Secondary Education - 12th Year,Basic Education 2nd Cycle,Legislative/Executive/Directors,Unskilled Workers,140.0,0,0,0,1,male,0,25,0,0,6,16,3,11.25,0,0,6,14,4,11.2,0,15.5,2.8,-4.06,Dropout
2704,single,2nd phase - general contingent,1,Advertising and Marketing Management,daytime,Secondary education,109.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Administrative staff,Administrative staff,108.0,0,0,0,1,male,0,19,0,0,5,10,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Non-Dropout
2705,single,Over 23 years old,2,Management,daytime,Secondary education,143.0,Portuguese,Basic Education 3rd Cycle,Higher Education - Doctorate,Administrative staff,Legislative/Executive/Directors,100.0,1,0,0,1,male,0,24,0,0,5,8,3,10.666666666666666,1,0,5,5,1,14.0,0,9.4,-0.8,-3.12,Dropout
2706,single,1st phase - general contingent,1,Equinculture,daytime,Secondary education,125.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,132.4,0,0,0,1,male,0,20,0,0,5,7,4,11.75,0,0,5,5,5,13.4,0,7.6,2.6,0.32,Non-Dropout
2707,single,1st phase - general contingent,1,Management,daytime,Secondary education,136.0,Portuguese,Secondary Education - 12th Year,Higher Education - Degree,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",137.1,0,0,0,1,male,0,20,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
2708,single,1st phase - special contingent (Azores Island),3,Communication Design,daytime,Secondary education,157.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",138.1,1,0,0,1,female,0,18,0,0,6,6,6,12.666666666666666,0,0,6,8,6,14.125,0,10.8,1.4,1.74,Non-Dropout
2709,divorced,Over 23 years old,1,Oral Hygiene,daytime,Secondary education,160.0,Portuguese,Basic Education 3rd Cycle,Higher Education - Degree,Unskilled Workers,Specialists in Intellectual and Scientific Activities,130.0,0,0,0,1,female,0,25,0,0,7,14,7,11.95,0,0,8,15,7,12.042857142857144,0,12.7,3.7,-1.7,Non-Dropout
2710,single,2nd phase - general contingent,1,Tourism,daytime,Secondary education,116.0,Portuguese,Basic Education 2nd Cycle,Basic education 1st cycle,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",109.7,1,0,0,1,female,0,22,0,0,6,7,5,14.0,0,0,6,6,6,15.666666666666666,0,11.1,0.6,2.02,Non-Dropout
2711,single,Change of course,1,Social Service (evening attendance),evening,Secondary education,113.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Student,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",128.2,0,0,0,0,female,0,41,0,0,6,6,0,0.0,6,0,6,12,0,0.0,0,9.4,-0.8,-3.12,Dropout
2712,single,1st phase - general contingent,2,Management,daytime,Secondary education,130.0,Portuguese,Basic education 1st cycle,Basic Education 2nd Cycle,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,117.8,0,0,1,1,female,1,19,0,0,5,11,2,11.5,0,0,5,10,0,0.0,0,12.7,3.7,-1.7,Dropout
2713,single,Change of course,1,Equinculture,daytime,Secondary education,150.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Intermediate Level Technicians and Professions,Administrative staff,150.0,1,0,0,1,female,0,21,0,0,6,10,6,12.0,0,0,6,12,5,12.8,0,13.9,-0.3,0.79,Non-Dropout
2714,single,Over 23 years old,1,Veterinary Nursing,daytime,Secondary education,110.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",160.0,1,0,1,1,female,0,30,0,0,6,7,6,16.428571428571427,0,0,6,7,6,16.666666666666668,0,13.9,-0.3,0.79,Dropout
2715,single,1st phase - general contingent,5,Nursing,daytime,Secondary education,101.0,Portuguese,Basic Education 2nd Cycle,Basic Education 2nd Cycle,Unskilled Workers,Unskilled Workers,104.5,1,0,0,1,female,1,21,0,0,7,9,5,13.336000000000002,0,0,8,9,7,13.207142857142856,0,11.1,0.6,2.02,Non-Dropout
2716,married,Over 23 years old,2,Oral Hygiene,daytime,Secondary education,110.0,Portuguese,Basic Education 3rd Cycle,Basic Education 2nd Cycle,Unskilled Workers,Unskilled Workers,112.8,0,0,0,1,female,1,26,0,0,7,7,0,0.0,0,0,8,8,0,0.0,6,10.8,1.4,1.74,Non-Dropout
2717,single,International student (bachelor),1,Advertising and Marketing Management,daytime,Secondary education,133.1,Brazilian,Secondary Education - 12th Year,Secondary Education - 12th Year,Unskilled Workers,Administrative staff,100.0,0,0,0,1,female,0,21,1,2,7,9,7,14.666666666666666,0,1,6,8,6,14.0,0,11.1,0.6,2.02,Non-Dropout
2718,single,1st phase - general contingent,1,Nursing,daytime,Secondary education,138.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Intermediate Level Technicians and Professions,Administrative staff,132.5,1,0,0,1,female,0,18,0,0,8,8,7,14.115714285714288,0,0,8,8,7,14.115714285714288,0,10.8,1.4,1.74,Non-Dropout
2719,single,1st phase - general contingent,4,Veterinary Nursing,daytime,Secondary education,138.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year,Legislative/Executive/Directors,Administrative staff,123.3,1,0,0,1,female,1,19,0,0,6,7,6,14.857142857142858,0,0,6,10,6,13.11111111111111,0,12.4,0.5,1.79,Non-Dropout
2720,single,1st phase - general contingent,2,Veterinary Nursing,daytime,Secondary education,141.0,Portuguese,Secondary Education - 12th Year,Basic Education 2nd Cycle,Unskilled Workers,Installation and Machine Operators and Assembly Workers,128.9,1,0,0,1,female,1,18,0,0,6,7,6,13.833333333333334,0,0,6,10,6,13.714285714285714,0,8.9,1.4,3.51,Non-Dropout
2721,single,2nd phase - general contingent,2,Management,daytime,Secondary education,129.0,Portuguese,Higher Education - Bachelor's,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,128.3,1,0,0,1,female,0,19,0,0,5,10,3,11.0,0,0,5,9,4,11.75,0,12.7,3.7,-1.7,Non-Dropout
2722,single,Change of course,1,Veterinary Nursing,daytime,Secondary education,127.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,"Personal Services, Security and Safety Workers and Sellers",100.0,0,0,0,1,female,0,21,0,0,6,11,4,11.75,0,0,6,12,3,13.666666666666666,0,13.9,-0.3,0.79,Non-Dropout
2723,single,2nd phase - general contingent,2,Management,daytime,Secondary education,133.0,Portuguese,Basic Education 3rd Cycle,Secondary Education - 12th Year,Unskilled Workers,Intermediate Level Technicians and Professions,120.1,1,0,0,1,female,1,18,0,0,5,15,2,10.0,0,0,5,14,2,12.0,0,13.9,-0.3,0.79,Dropout
2724,single,Over 23 years old,1,Nursing,daytime,Secondary education,100.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",160.0,1,0,0,1,female,1,24,0,0,8,15,6,12.415,0,0,8,15,6,12.415,0,10.8,1.4,1.74,Non-Dropout
2725,single,1st phase - general contingent,1,Equinculture,daytime,Secondary education,138.0,Portuguese,Higher Education - Master,Higher Education - Doctorate,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,123.0,1,0,0,1,female,0,21,0,0,5,12,1,11.0,0,0,5,9,2,10.5,0,12.7,3.7,-1.7,Non-Dropout
2726,single,Technological specialization diploma holders,1,Veterinary Nursing,daytime,Technological specialization course,150.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Unskilled Workers,Unskilled Workers,150.0,1,0,0,1,female,0,23,0,1,6,14,5,14.428571428571429,0,1,6,7,6,13.428571428571429,0,16.2,0.3,-0.92,Non-Dropout
2727,single,2nd phase - general contingent,2,Nursing,daytime,Secondary education,129.0,Portuguese,Basic Education 2nd Cycle,Basic Education 3rd Cycle,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",124.0,1,0,0,1,female,1,18,0,0,8,8,7,14.312857142857142,0,0,8,8,7,14.312857142857142,0,10.8,1.4,1.74,Non-Dropout
2728,single,Over 23 years old,1,Veterinary Nursing,daytime,Secondary education,130.0,Portuguese,Higher Education - Master,Secondary Education - 12th Year,Specialists in Intellectual and Scientific Activities,Unskilled Workers,120.0,0,0,0,0,female,0,26,0,0,6,8,6,15.428571428571429,0,0,6,7,5,14.5,0,11.1,0.6,2.02,Non-Dropout
2729,single,1st phase - general contingent,1,Equinculture,daytime,Secondary education,133.0,Portuguese,Basic Education 2nd Cycle,Basic Education 2nd Cycle,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,120.4,1,0,0,1,female,0,20,0,0,5,9,4,12.0,1,0,5,6,5,13.4,0,9.4,-0.8,-3.12,Non-Dropout
2730,single,1st phase - general contingent,1,Social Service,daytime,Secondary education,133.0,Portuguese,Higher Education - Master,Secondary Education - 12th Year,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",131.6,0,0,0,1,female,0,18,0,0,6,7,6,13.833333333333334,0,0,6,7,6,13.714285714285714,0,11.1,0.6,2.02,Non-Dropout
2731,single,1st phase - general contingent,1,Social Service,daytime,Secondary education,107.0,Portuguese,Higher Education - Bachelor's,Other - 11th Year,Intermediate Level Technicians and Professions,Armed Forces Professions,104.2,1,0,0,1,female,0,20,0,0,6,6,6,12.166666666666666,0,0,6,7,6,12.142857142857142,0,11.1,0.6,2.02,Non-Dropout
2732,single,1st phase - general contingent,1,Nursing,daytime,Secondary education,131.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Administrative staff,Administrative staff,122.0,1,0,0,1,female,0,20,0,0,8,8,7,14.014285714285714,0,0,8,8,7,14.014285714285714,0,12.7,3.7,-1.7,Non-Dropout
2733,single,2nd phase - general contingent,2,Social Service,daytime,Secondary education,118.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Administrative staff,Armed Forces Professions,110.7,1,1,0,1,female,0,18,0,0,6,15,2,10.333333333333334,3,0,6,13,3,13.333333333333334,0,12.7,3.7,-1.7,Non-Dropout
2734,single,1st phase - general contingent,4,Journalism and Communication,daytime,Secondary education,136.0,Portuguese,Secondary Education - 12th Year,Other - 11th Year,Unskilled Workers,Armed Forces Professions,121.7,1,0,0,1,female,1,22,0,0,6,7,5,13.2,0,0,6,7,5,13.6,0,12.4,0.5,1.79,Non-Dropout
2735,single,1st phase - general contingent,1,Nursing,daytime,Secondary education,125.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,126.0,1,0,1,1,female,0,20,0,0,7,7,6,15.4,0,0,7,7,6,15.4,0,7.6,2.6,0.32,Non-Dropout
2736,single,2nd phase - general contingent,4,Nursing,daytime,Secondary education,137.0,Portuguese,Secondary Education - 12th Year,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,128.4,1,0,0,1,female,1,19,0,0,7,7,7,13.385714285714286,0,0,8,8,8,15.925,0,13.9,-0.3,0.79,Non-Dropout
2737,single,1st phase - general contingent,1,Equinculture,daytime,Secondary education,144.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year,Specialists in Intellectual and Scientific Activities,Administrative staff,134.9,1,0,1,1,female,0,18,0,0,6,13,6,10.857142857142858,0,0,6,10,4,11.0,0,15.5,2.8,-4.06,Dropout
2738,single,2nd phase - general contingent,2,Management,daytime,Secondary education,146.0,Portuguese,Basic Education 2nd Cycle,Basic education 1st cycle,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",143.9,0,0,0,1,female,0,18,0,0,5,11,5,11.333333333333334,0,0,5,8,5,12.0,0,13.9,-0.3,0.79,Non-Dropout
2739,single,1st phase - general contingent,4,Veterinary Nursing,daytime,Secondary education,145.0,Portuguese,Basic education 1st cycle,Secondary Education - 12th Year,Unskilled Workers,Unskilled Workers,145.0,1,0,0,1,female,1,19,0,0,5,7,4,14.5,0,0,5,5,5,13.6,0,10.8,1.4,1.74,Non-Dropout
2740,single,1st phase - general contingent,2,Communication Design,daytime,Secondary education,126.0,Portuguese,Basic Education 3rd Cycle,Basic Education 2nd Cycle,Unskilled Workers,Unskilled Workers,132.0,1,0,0,1,female,1,19,0,0,6,6,6,14.166666666666666,0,0,6,8,6,12.375,0,10.8,1.4,1.74,Non-Dropout
2741,single,2nd phase - general contingent,1,Social Service (evening attendance),evening,Secondary education,141.0,Portuguese,Unknown,Unknown,Student,Student,136.1,0,0,0,1,female,0,24,0,0,6,7,6,12.833333333333334,0,0,6,8,6,12.0,0,7.6,2.6,0.32,Non-Dropout
2742,single,1st phase - general contingent,1,Social Service,daytime,Secondary education,141.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Administrative staff,Administrative staff,138.9,0,0,0,1,female,0,21,0,0,6,7,6,13.333333333333334,0,0,6,6,6,14.5,0,10.8,1.4,1.74,Non-Dropout
2743,single,1st phase - general contingent,1,Social Service,daytime,Secondary education,133.1,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,102.0,1,0,0,1,female,1,20,0,0,6,7,6,13.666666666666666,0,0,6,7,6,14.571428571428571,0,11.1,0.6,2.02,Non-Dropout
2744,single,Over 23 years old,1,Tourism,daytime,Secondary education,133.1,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",123.0,0,0,1,0,female,1,28,0,0,6,6,6,10.833333333333334,0,0,6,7,5,11.0,0,13.9,-0.3,0.79,Dropout
2745,single,1st phase - general contingent,2,Basic Education,daytime,Secondary education,127.0,Portuguese,Basic education 1st cycle,Basic Education 3rd Cycle,Unskilled Workers,Installation and Machine Operators and Assembly Workers,137.5,1,0,0,1,female,0,21,0,0,6,7,6,13.428571428571429,0,0,6,8,6,13.142857142857142,0,7.6,2.6,0.32,Non-Dropout
2746,single,1st phase - general contingent,1,Nursing,daytime,Secondary education,106.0,Portuguese,Basic education 1st cycle,Basic Education 2nd Cycle,Cleaning workers,"Farmers, livestock keepers, fishermen, hunters and gatherers, subsistence",102.2,1,0,1,1,male,0,20,0,0,7,7,7,12.401428571428571,0,0,8,10,6,11.808333333333332,0,11.1,0.6,2.02,Non-Dropout
2747,single,Transfer,1,Agronomy,daytime,Secondary education,130.0,Portuguese,Higher Education - Degree,Higher Education - Bachelor's,Specialists in Intellectual and Scientific Activities,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",105.3,0,0,0,0,male,0,36,0,0,6,8,0,0.0,0,0,6,10,0,0.0,0,16.2,0.3,-0.92,Dropout
2748,married,Over 23 years old,1,Management (evening attendance),evening,Secondary education,110.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,130.0,0,0,0,0,male,0,42,0,0,4,4,0,0.0,0,0,5,0,0,0.0,0,12.7,3.7,-1.7,Dropout
2749,married,Over 23 years old,1,Management (evening attendance),evening,Secondary education,150.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",122.5,0,0,0,1,male,0,47,0,0,5,9,4,11.5,0,0,5,6,5,11.6,1,7.6,2.6,0.32,Dropout
2750,single,Over 23 years old,1,Informatics Engineering,daytime,Secondary education,160.0,Portuguese,Secondary Education - 12th Year,Basic Education 2nd Cycle,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",112.0,0,0,0,0,male,0,25,0,0,5,8,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Dropout
2751,single,Over 23 years old,1,Advertising and Marketing Management,daytime,Other - 11th year of schooling,170.0,Portuguese,Secondary Education - 12th Year,Basic education 1st cycle,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",110.0,0,0,0,1,male,1,25,0,0,6,8,6,14.142857142857142,0,0,6,6,6,13.5,0,15.5,2.8,-4.06,Non-Dropout
2752,married,Over 23 years old,1,Social Service (evening attendance),evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 3rd Cycle,Basic education 1st cycle,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Installation and Machine Operators and Assembly Workers,149.5,0,0,0,1,male,0,48,0,0,6,6,0,0.0,0,0,5,6,0,0.0,0,12.4,0.5,1.79,Dropout
2753,single,Change of course,1,Management (evening attendance),evening,Secondary education,120.0,Portuguese,Basic Education 2nd Cycle,Basic Education 2nd Cycle,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",141.0,0,0,0,1,male,1,32,0,5,10,12,10,13.8,0,5,10,10,10,12.8,0,10.8,1.4,1.74,Non-Dropout
